Name, Band Gap (eV), n*_SiC, n_CH, n_SiH, n_SiSi, n_CC, SiC density, CH density, SiH density, SiSi density, CC density, HH density, Mean SiSi Length, MAD SiSi, STD SiSi, Mean CC Length, MAD CC, STD CC, Mean SiC Length, MAD SiC, STD SiC, %C, %Si, %H, Density(g/cm^3), Volume(cm^3), Free Energy, 1C, 2C, 3C, 4C, 5C, 6C, 7C, 8C, 9C, 10C, 11C, 1Si, 2Si, 3Si, 4Si, 5Si, 6Si, 7Si, 8Si, 9Si, 10Si, 11Si
/storage/home/cjb6010/work/group_work/codes/Nano-Pore-Analyzer/Crystal,1.34551,0.000000673,0,0,0,0,193.046,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0.5,0,3.21334,2.24E-21,-1625.63,108,0,0,0,0,0,0,0,0,0,0,108,0,0,0,0,0,0,0,0,0,0
/storage/home/cjb6010/work/group_work/results/CH_models/1,1.39846,0.00925993,0.00925925,0,0,0,191.258,1.78746,0,0,0,0,0,0,0,0,0,0,1.88645,0.00250105,0.00424597,0.493151,0.488584,0.0182648,3.19549,2.24E-21,-1632.77,108,0,0,0,0,0,0,0,0,0,0,107,0,0,0,0,0,0,0,0,0,0
/storage/home/cjb6010/work/group_work/results/CH_models/2,1.49872,0.0370377,0.0277778,0,0,0,185.896,5.36239,0,0,0,0,0,0,0,0,0,0,1.88388,0.00530582,0.00703265,0.479821,0.466368,0.0538117,3.13004,2.24E-21,-1633.27,107,0,0,0,0,0,0,0,0,0,0,104,0,0,0,0,0,0,0,0,0,0
/storage/home/cjb6010/work/group_work/results/CH_models/3,1.65507,0.0740747,0.0555555,0,0,0,178.746,10.7248,0,0,0,0,0,0,0,0,0,0,1.87959,0.00851,0.0103668,0.46087,0.434783,0.104348,3.04674,2.24E-21,-1640.9,106,0,0,0,0,0,0,0,0,0,0,100,0,0,0,0,0,0,0,0,0,0
/storage/home/cjb6010/work/group_work/results/CH_models/4,1.63003,0.0925932,0.0648148,0,0,0,175.171,12.5122,0,0,0,0,0,0,0,0,0,0,1.87918,0.00773797,0.0101195,0.454545,0.424242,0.121212,2.99914,2.24E-21,-1633.78,105,0,0,0,0,0,0,0,0,0,0,98,0,0,0,0,0,0,0,0,0,0
/storage/home/cjb6010/work/group_work/results/CH_models/5,1.75156,0.120371,0.0833333,0,0,0,169.809,16.0872,0,0,0,0,0,0,0,0,0,0,1.8775,0.00838489,0.0108863,0.442553,0.404255,0.153191,2.93369,2.24E-21,-1633.06,104,0,0,0,0,0,0,0,0,0,0,95,0,0,0,0,0,0,0,0,0,0
/storage/home/cjb6010/work/group_work/results/CH_models/6,1.78084,0.111112,0.0833333,0,0,0,171.596,16.0872,0,0,0,0,0,0,0,0,0,0,1.87634,0.00934255,0.0111985,0.443038,0.405063,0.151899,2.96344,2.24E-21,-1648.35,105,0,0,0,0,0,0,0,0,0,0,96,0,0,0,0,0,0,0,0,0,0
/storage/home/cjb6010/work/group_work/results/CH_models/7,1.99292,0.212963,0.12963,0,0,0,151.934,25.0245,0,0,0,0,0,0,0,0,0,0,1.87354,0.00965488,0.0126827,0.4125,0.354167,0.233333,2.69568,2.24E-21,-1597.11,99,0,0,0,0,0,0,0,0,0,0,85,0,0,0,0,0,0,0,0,0,0
/storage/home/cjb6010/work/group_work/results/CH_models/8,2.06061,0.222223,0.166667,0,0,0,150.147,32.1743,0,0,0,0,0,0,0,0,0,0,1.88794,4.65E-06,6.22E-06,0.395349,0.325581,0.27907,2.71354,2.24E-21,-1656.87,102,0,0,0,0,0,0,0,0,0,0,84,0,0,0,0,0,0,0,0,0,0
/storage/home/cjb6010/work/group_work/results/CH_models/9,2.19011,0.25926,0.194444,0,0,0,142.997,37.5367,0,0,0,0,0,0,0,0,0,0,1.86629,0.0108446,0.0130015,0.381132,0.301887,0.316981,2.63024,2.24E-21,-1679.99,101,0,0,0,0,0,0,0,0,0,0,80,0,0,0,0,0,0,0,0,0,0
/storage/home/cjb6010/work/group_work/results/CH_models/10,2.46116,0.333334,0.25,0,0,0,128.697,48.2615,0,0,0,0,0,0,0,0,0,0,1.85986,0.0138135,0.0165126,0.354839,0.258065,0.387097,2.46364,2.24E-21,-1692.55,99,0,0,0,0,0,0,0,0,0,0,72,0,0,0,0,0,0,0,0,0,0
/storage/home/cjb6010/work/group_work/results/SiH_models/1,1.39174,0.0597799,0,0.0271217,0,0,181.506,0,5.23574,0,0,0,0,0,0,0,0,0,1.89691,0.00946255,0.0134481,0.466368,0.479821,0.0538117,3.09105,2.29E-21,-1612.24,104,0,0,0,0,0,0,0,0,0,0,107,0,0,0,0,0,0,0,0,0,0
/storage/home/cjb6010/work/group_work/results/SiH_models/2,1.45323,0.111272,0,0.0533237,0,0,171.565,0,10.2939,0,0,0,0,0,0,0,0,0,1.90105,0.0167984,0.0208748,0.434783,0.46087,0.104348,2.99303,2.33E-21,-1599.64,100,0,0,0,0,0,0,0,0,0,0,106,0,0,0,0,0,0,0,0,0,0
/storage/home/cjb6010/work/group_work/results/SiH_models/3,1.42396,0.158146,0,0.0789238,0,0,162.517,0,15.2359,0,0,0,0,0,0,0,0,0,1.90427,0.0183793,0.0254465,0.405063,0.443038,0.151899,2.9083,2.36E-21,-1587.72,96,0,0,0,0,0,0,0,0,0,0,105,0,0,0,0,0,0,0,0,0,0
/storage/home/cjb6010/work/group_work/results/SiH_models/4,1.46032,0.178518,0,0.0883314,0,0,158.584,0,17.052,0,0,0,0,0,0,0,0,0,1.90156,0.0160036,0.0223889,0.394068,0.436441,0.169492,2.86706,2.35E-21,-1565.08,93,0,0,0,0,0,0,0,0,0,0,103,0,0,0,0,0,0,0,0,0,0
/storage/home/cjb6010/work/group_work/results/SiH_models/5,1.63796,0.209469,0,0.0966205,0,0,152.609,0,18.6522,0,0,0,0,0,0,0,0,0,1.90227,0.0183233,0.0253177,0.382979,0.429787,0.187234,2.78894,2.36E-21,-1537.76,90,0,0,0,0,0,0,0,0,0,0,101,0,0,0,0,0,0,0,0,0,0
